state,lga,median_price_M,count
Abuja,Asokoro,2200.0,5
Lagos,Ikoyi,1100.0,71
Abuja,Maitama,800.0,6
Abuja,Katampe,750.0,13
Lagos,Island,640.0,62
Abuja,Mabushi,500.0,8
Lagos,Ojodu,425.0,16
Lagos,Ikeja,420.0,74
Lagos,Surulere,380.0,6
Lagos,Lagos,375.0,121
Abuja,Wuye,350.0,5
Abuja,Abuja,350.0,64
Lagos,Ikosi,330.0,10
Abuja,Karsana,330.0,8
Lagos,Lekki,330.0,737
Abuja,Guzape,330.0,17
Abuja,Village),275.0,6
Abuja,Lokogoma,274.5,6
Abuja,Jahi,260.0,11
Lagos,Maryland,250.0,16
Abuja,Gwarinpa,250.0,15
Abuja,Apo,245.0,11
Abuja,Durumi,240.0,5
Abuja,Camp,225.0,30
Abuja,Main,220.0,13
Oyo,Ibadan,220.0,142
Abuja,Gaduwa,159.53375,5
Lagos,Yaba,155.0,12
Lagos,Ajah,140.0,59
Abuja,Idu,65.0,6
Abuja,Lugbe,65.0,5
Ogun,Owode,5.0,5
