state,lga,median_price_M,count
Abuja,Asokoro,2200.0,5
Lagos,Ikoyi,1300.0,106
Abuja,Maitama,800.0,6
Abuja,Katampe,750.0,13
Lagos,Island,640.0,62
Abuja,Mabushi,500.0,8
Lagos,Ojodu,425.0,16
Lagos,Ikeja,420.0,78
Abuja,Abuja,350.0,64
Abuja,Wuye,350.0,5
Abuja,Karsana,330.0,8
Lagos,Ikosi,330.0,10
Lagos,Lekki,330.0,777
Abuja,Guzape,330.0,17
Lagos,Maryland,300.0,329
Abuja,Village),275.0,6
Abuja,Lokogoma,274.5,6
Abuja,Jahi,260.0,11
Abuja,Gwarinpa,250.0,15
Abuja,Apo,245.0,11
Abuja,Durumi,240.0,5
Lagos,Agege,230.0,119
Lagos,Gbagada,230.0,331
Abuja,Camp,225.0,30
Oyo,Ibadan,220.0,143
Lagos,Lagos,210.0,11
Abuja,Main,210.0,14
Lagos,Surulere,200.0,289
Lagos,Ajah,170.0,89
Abuja,Gaduwa,159.53375,5
Lagos,Yaba,150.0,250
Lagos,Shomolu,75.0,66
Abuja,Idu,65.0,6
Abuja,Lugbe,65.0,5
Lagos,Ikorodu,50.0,180
Ogun,Owode,5.0,5
