pid,title,price_ngn,price_raw,bedrooms,bathrooms,prop_type,location,area,lga,state,agent,features,date_added,url
5PDQQ,4 Bedroom Detached Duplex With Bq,1750000000.0,"₦ 1,750,000,000",4.0,5.0,House,Parkview Estate Ikoyi Lagos,Parkview Estate,Ikoyi,Lagos,Chrystal Abodes,Newly Built; Only on PropertyPro,17 Feb 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-parkview-estate-ikoyi-lagos-5PDQQ
6PUTF,3bed,300000000.0,"₦ 300,000,000",3.0,3.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-6PUTF
1PUTF,4bed,500000000.0,"₦ 500,000,000",4.0,4.0,Flat Apartment,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-1PUTF
5PUTD,Newly Built 5bedroom Fully Detached Duplex,480000000.0,"₦ 480,000,000",5.0,5.0,House,Ikate Ikate Lekki Lagos,Ikate Ikate,Lekki,Lagos,New adventures,Survey; Church Nearby; Parking Space,29 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-ikate-lekki-lagos-5PUTD
2NMRX,5 Bedroom Detached House,2250000000.0,"₦ 2,250,000,000",5.0,5.0,House,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,08 Sep 2025,https://www.propertypro.ng/property/5-bedroom-house-for-sale-old-ikoyi-ikoyi-lagos-2NMRX
0NVLX,Premium 3 Bedroom Apartment + Bq,700000000.0,"₦ 700,000,000",3.0,3.0,Flat Apartment,Old Ikoyi Ikoyi Lagos,Old Ikoyi,Ikoyi,Lagos,PRINCE ADEMOLA,,24 Nov 2025,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-old-ikoyi-ikoyi-lagos-0NVLX
8PUSZ,3bed,300000000.0,"₦ 300,000,000",3.0,3.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8PUSZ
4PUSY,Distress 2bedroom Terrace Duplex Good Security,60000000.0,"₦ 60,000,000",2.0,2.0,House,Sangotedo Sangotedo Ajah Lagos,Sangotedo Sangotedo,Ajah,Lagos,New adventures,Mosques Nearby; Parking Space; Governor's Consent,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-sangotedo-sangotedo-ajah-lagos-4PUSY
7PUSY,2bed,500000000.0,"₦ 500,000,000",2.0,2.0,House,Victoria Island Lagos,Victoria,Island,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-victoria-island-lagos-7PUSY
1PUSZ,3bed,700000000.0,"₦ 700,000,000",3.0,3.0,House,Victoria Island Lagos,Victoria,Island,Lagos,New adventures,,29 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-victoria-island-lagos-1PUSZ
9PTAF,Luxury 3 Bedroom Shortlet Apartment In Surulere,200000.0,"₦ 200,000",3.0,3.0,Flat / Apartment FOR SHORTLET,Olaogun Drive Adelabu Surulere Lagos,Olaogun Drive Adelabu,Surulere,Lagos,Jeffreys Apartments,Furnished; Serviced; Only on PropertyPro,15 Jun 2026,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-olaogun-drive-adelabu-surulere-lagos-9PTAF
1PAES,5 Bedroom Fully Detached Duplex,250000000.0,"₦ 250,000,000",5.0,5.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Perfect Images,,18 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-1PAES
8PAES,5 Bedroom Detached Duplex,650000000.0,"₦ 650,000,000",5.0,5.0,House,Orchid Lekki Lagos,Orchid,Lekki,Lagos,Perfect Images,,18 Jan 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-8PAES
3PPKF,Newly Built 2 Bedroom Apartment,250000000.0,"₦ 250,000,000",2.0,3.0,House,Lekki Phase 1 Lekki Lagos,Lekki Phase 1,Lekki,Lagos,Perfect Images,Fast Internet; Security Doors; Big Compound,14 May 2026,https://www.propertypro.ng/property/2-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-3PPKF
0PTJP,Newly Built 5 Bedroom Duplex,470000000.0,"₦ 470,000,000",5.0,6.0,House,Ikota Lekki Lagos,Ikota,Lekki,Lagos,Perfect Images,Swimming Pool; 24 Hours Electricity; Street Lights,17 Jun 2026,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikota-lekki-lagos-0PTJP
1PTJQ,Beautiful 3 Bedroom Semi Detached Terrace Duplex,120000000.0,"₦ 120,000,000",3.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Free Coffee; Supermarket Nearby; Front Desk Service,17 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajah-lekki-lagos-1PTJQ
7PTLT,Spacious 3 Bedroom Terrace Duplex,125000000.0,"₦ 125,000,000",3.0,4.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Boys Quater; Security Doors; Drainage System,18 Jun 2026,https://www.propertypro.ng/property/3-bedroom-house-for-sale-ajah-lekki-lagos-7PTLT
1PTLU,Well Built 4 Bedroom Fully Detached Duplex,190000000.0,"₦ 190,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,Fast Internet; Parking Space; Security Doors,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-1PTLU
6PTLU,Well Built 4 Bedroom Semi Detached Duplex,155000000.0,"₦ 155,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-6PTLU
5PTLV,Contemporary 4 Bedroom Fully Detached Duplex,190000000.0,"₦ 190,000,000",4.0,5.0,House,Ajah Lekki Lagos,Ajah,Lekki,Lagos,Perfect Images,,18 Jun 2026,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-5PTLV
